,ActualElapsedTime,AirTime,ArrDelay,ArrTime,CRSArrTime,CRSDepTime,CRSElapsedTime,CancellationCode,Cancelled,CarrierDelay,DayOfWeek,DayofMonth,DepDelay,DepTime,Dest,Distance,Diverted,FlightNum,LateAircraftDelay,Month,NASDelay,Origin,SecurityDelay,TailNum,TaxiIn,TaxiOut,UniqueCarrier,WeatherDelay,Year,LateArrival
0,53.0,32.0,-8.0,1642.0,1650,1545,65.0,NA,0,NA,4,10,4,1549.0,PIT,205.0,0,209,NA,10,NA,DCA,NA,N443US,7,14,US,NA,2002,False
1,164.0,155.0,-11.0,1754.0,1805,1610,175.0,NA,0,NA,4,2,0,1610.0,MCI,1072.0,0,109,NA,12,NA,MCO,NA,N755,2,7,WN,NA,1999,False
2,60.0,,15.0,2005.0,1950,1850,60.0,NA,0,NA,5,10,15,1905.0,CLT,227.0,0,1276,NA,12,NA,ATL,NA,NA,NA,NA,DL,NA,1993,True
3,51.0,,-5.0,1818.0,1823,1728,55.0,NA,0,NA,4,28,-1,1727.0,BNA,200.0,0,961,NA,9,NA,MEM,NA,NA,NA,NA,AA,NA,1989,False
4,45.0,29.0,2.0,1120.0,1118,1030,48.0,,0,0,1,19,5,1035.0,CMH,116.0,0,5873,0,6,0,CVG,0,N785CA,3,13,OH,0,2006,True
5,49.0,37.0,2.0,1137.0,1135,1048,47.0,NA,0,NA,4,2,0,1048.0,CLT,156.0,0,353,NA,1,NA,MYR,NA,N934VJ,6,6,US,NA,1997,True
6,61.0,40.0,-3.0,1537.0,1540,1440,60.0,,0,NA,7,20,-4,1436.0,LAW,140.0,0,3281,NA,7,NA,DFW,NA,N286AE,7,14,MQ,NA,2008,False
7,150.0,126.0,-19.0,2015.0,2034,1745,169.0,NA,0,NA,4,15,0,1745.0,ATL,903.0,0,1521,NA,10,NA,PVD,NA,N919DE,14,10,DL,NA,1998,False
8,115.0,103.0,-5.0,735.0,740,640,120.0,NA,0,NA,2,16,0,640.0,SEA,689.0,0,1678,NA,6,NA,SLC,NA,N346,2,10,WN,NA,1998,False
9,,,,,730,605,85.0,B,1,0,7,10,NA,,SLC,391.0,0,4117,0,4,0,DEN,0,N705EV,0,0,EV,0,2005,
10,102.0,,-4.0,1603.0,1607,1320,107.0,NA,0,NA,2,3,1,1321.0,DFW,641.0,0,280,NA,12,NA,DEN,NA,NA,NA,NA,CO,NA,1991,False
11,87.0,,-8.0,1547.0,1555,1322,93.0,NA,0,NA,3,13,-2,1320.0,CLE,487.0,0,142,NA,11,NA,STL,NA,NA,NA,NA,TW,NA,1991,False
12,170.0,135.0,10.0,1051.0,1041,800,161.0,NA,0,NA,4,22,1,801.0,MCO,950.0,0,1123,NA,10,NA,LGA,NA,N558AA,3,32,AA,NA,1998,True
